,0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023
58,VI. Tài sản dài hạn khác,31562087330.0,21891038430.0,49995530296.0,215774662455.0,162481848794.0,264922825412.0,336649236703.0,447964419930.0,647002229017.0,726543631463.0,1106341813359.0,871868027531.0,1350211370859.0,2513312662346.0,2606569868706.0,3620893889359.0,4154202857855.0,5036171784305.0
59,1. Chi phí trả trước dài hạn,31562087330.0,19903812430.0,41168799336.0,153151586037.0,81868941413.0,154930449508.0,225343888201.0,330699555321.0,489423569136.0,523437534683.0,1017386186501.0,811433621590.0,986963791569.0,2247131962711.0,2267066059274.0,2972696947589.0,3488252134893.0,3391434748762.0
60,2. Tài sản thuế thu nhập hoãn lại,,,,23365346963.0,60745919547.0,76063911140.0,73225086409.0,74743219962.0,103536509729.0,131807015837.0,88955626858.0,60434405941.0,37229856110.0,40251284363.0,139469584405.0,182211531443.0,258005875001.0,360946956414.0
61,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,
62,4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,
63,5. Lợi thế thương mại,,,,,,,,,,,,,326017723180.0,225929415272.0,200034225027.0,465985410327.0,407944847961.0,1283790079129.0
64,TỔNG CỘNG TÀI SẢN,2219477118011.0,3409219504435.0,5356052345062.0,6124834156874.0,10395415418082.0,12304544443351.0,14943086539425.0,14209182622439.0,17570557253512.0,22658343950733.0,29833261814151.0,24999676895866.0,29757067149568.0,33394164263694.0,41734323235194.0,53697940895875.0,51650403735130.0,60282827532899.0
65,NGUỒN VỐN,,,,,,,,,,,,,,,,,,
66,C. NỢ PHẢI TRẢ,1533042828613.0,1720207153018.0,3094037392967.0,3165352228560.0,6591411421824.0,7255512891181.0,8717275015362.0,7114920592482.0,9316700305301.0,13400525192639.0,18385186549332.0,11761300662093.0,14982096384457.0,16594874862688.0,23128655834466.0,32279955665838.0,26294279047318.0,30349816316666.0
67,I. Nợ ngắn hạn,1408120438249.0,1713288553018.0,3027491761076.0,3160423294749.0,4679751638141.0,5214205804428.0,8475464627022.0,6819506261500.0,9068740122198.0,13056523189378.0,17429655689537.0,11100344738740.0,14451149990521.0,16102256902439.0,22364710509820.0,29761106035257.0,24521161696202.0,29651673556227.0
68,1. Phải trả người bán ngắn hạn,266957599793.0,626707305363.0,1060378510836.0,1057507949067.0,1238652532287.0,1150176696403.0,1338827517569.0,1809370535796.0,2200022923453.0,3018857084191.0,3757370436671.0,2279172467047.0,2510114267322.0,2641797326788.0,2824505552359.0,2865815039581.0,3209205494368.0,2602977290710.0
69,2. Người mua trả tiền trước ngắn hạn,48255501531.0,71236498237.0,160212032853.0,336639630984.0,271716587949.0,210726704950.0,335440515687.0,345908138944.0,374759654082.0,478420174874.0,582218403864.0,561261495876.0,418652248691.0,398628905824.0,465157577125.0,710658541296.0,491097603761.0,602010036721.0
